volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,7.5,10.683035135269165,11.88303632736206,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,7.5,10.716437101364136,11.91643829345703,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,7.5,10.732597351074219,11.932598781585693,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,7.5,10.749554634094238,11.949555826187133,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,7.5,10.766255140304565,11.966256093978881,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,7.5,10.784499406814575,11.98450059890747,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,7.5,10.799569368362427,11.9995707988739,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,7.5,10.817991256713867,12.017992448806762,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,7.5,10.833104610443115,12.03310580253601,0.0,-0.62413,baseline,0,0,nan,nan,nan,nan
9,7.5,11.100988149642944,12.300989580154418,0.0,-0.06106,baseline,0,0,nan,nan,nan,nan
10,7.5,12.317383527755737,13.517384719848632,0.0,0.204368,baseline,0,0,nan,nan,nan,nan
11,7.5,13.517891645431519,14.717893075942992,0.0,-0.130882,baseline,0,0,nan,nan,nan,nan
12,7.5,14.718091011047363,15.918092203140258,0.0,-0.729599,baseline,0,0,nan,nan,nan,nan
13,7.5,15.916067361831665,17.11606879234314,0.0,0.167397,baseline,0,0,nan,nan,nan,nan
14,7.5,17.117903232574463,18.317904424667358,0.0,0.116522,baseline,0,0,nan,nan,nan,nan
15,7.5,18.333399295806885,19.53340048789978,0.0,-0.286235,baseline,0,0,nan,nan,nan,nan
16,7.5,19.53455662727356,20.734557819366454,0.0,-0.092761,baseline,0,0,nan,nan,nan,nan
17,7.5,20.73315143585205,21.933153343200683,0.0,-0.880361,baseline,0,0,nan,nan,nan,nan
18,7.5,21.949103593826294,23.14910478591919,0.0,-0.227096,baseline,0,0,nan,nan,nan,nan
19,7.5,23.151434898376465,24.35143609046936,0.0,-0.418698,baseline,0,0,nan,nan,nan,nan
20,7.5,24.349377393722534,25.54937858581543,0.0,0.205635,baseline,0,0,nan,nan,nan,nan
21,7.5,25.568100690841675,26.76810188293457,0.0,-0.290598,baseline,0,0,nan,nan,nan,nan
22,7.5,26.750054121017456,27.95005555152893,0.0,0.000825,baseline,0,0,nan,nan,nan,nan
23,7.5,27.966912508010864,29.16691370010376,0.0,0.055615,baseline,0,0,nan,nan,nan,nan
24,7.5,29.16644048690796,30.366441679000854,0.0,0.250279,baseline,0,0,nan,nan,nan,nan
25,7.5,30.384865760803223,31.584866952896117,0.0,0.235195,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
26,7.5,31.567854642868042,32.76785607337952,0.0,-0.225226,feedback,0,0,False,-0.016218111842962107,0.3333333333333333,-0.3333333333333333
27,7.5,32.783525466918945,33.983527135849,0.0,0.775005,feedback,0,0,False,-0.00024993838965812077,0.3333333333333333,-0.3333333333333333
28,7.5,33.983959674835205,35.18396110534668,0.0,0.991206,feedback,0,0,False,-0.054443894879316425,0.3333333333333333,-0.3333333333333333
29,7.5,35.183969020843506,36.383970212936404,0.0,0.72038,feedback,0,0,False,-0.12375618942746534,0.3333333333333333,-0.3333333333333333
