volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,2.363107919692993,3.563109350204468,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,3.079080104827881,4.279081535339356,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,4.211991786956787,5.411992979049683,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,5.396182298660278,6.596183252334595,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,6.6142661571502686,7.814267349243164,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,7.812453985214233,9.012455177307128,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,8.996368169784546,10.19636936187744,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,10.179260730743408,11.379261922836303,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,11.412142038345337,12.612142992019653,0.034835,-0.004564,baseline,0,0,nan,nan,nan,nan
9,10,12.613305568695068,13.813306760787963,-0.007201,-0.00263,baseline,0,0,nan,nan,nan,nan
10,10,13.79736590385437,14.997367095947265,0.019031,0.02393,baseline,0,0,nan,nan,nan,nan
11,10,14.978763580322266,16.17876453399658,-0.037347,-0.006444,baseline,0,0,nan,nan,nan,nan
12,10,16.195955276489258,17.395956230163574,0.014057,-0.068421,baseline,0,0,nan,nan,nan,nan
13,10,17.41311812400818,18.613119316101074,0.042713,0.028542,baseline,0,0,nan,nan,nan,nan
14,10,18.647176265716553,19.847177457809448,-0.032703,0.043683,baseline,0,0,nan,nan,nan,nan
15,10,19.812671422958374,21.01267261505127,0.053263,0.04161,baseline,0,0,nan,nan,nan,nan
16,10,21.03097701072693,22.230978441238403,-0.028689,-0.034126,baseline,0,0,nan,nan,nan,nan
17,10,22.213294744491577,23.413295698165893,0.005245,0.025961,baseline,0,0,nan,nan,nan,nan
18,10,23.46276092529297,24.662761878967284,-0.004479,-0.016784,baseline,0,0,nan,nan,nan,nan
19,10,24.613861083984375,25.81386203765869,0.035568,0.044105,baseline,0,0,nan,nan,nan,nan
20,10,25.762762308120728,26.962763500213622,-0.066831,-0.011989,baseline,0,0,nan,nan,nan,nan
21,10,26.99727201461792,28.197273206710815,0.013425,0.035245,baseline,0,0,nan,nan,nan,nan
22,10,28.213830709457397,29.413831663131713,-0.008993,0.027527,baseline,0,0,nan,nan,nan,nan
23,10,29.398054122924805,30.5980553150177,-0.003528,-0.011983,baseline,0,0,nan,nan,nan,nan
24,10,30.614838123321533,31.814839315414428,-0.032489,0.019584,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,10,31.84630799293518,33.04630918502808,-0.063306,-0.055504,feedback,0,0,False,-0.3217383731948494,0.3333333333333333,-0.3333333333333333
26,10,32.99633002281189,34.19633121490479,0.0031,-0.007864,feedback,0,1,False,0.0,0.3333333333333333,-0.3333333333333333
27,10,34.2125928401947,35.4125940322876,0.015587,0.010948,feedback,0,1,False,0.06656950346775635,0.3333333333333333,-0.3333333333333333
28,10,35.42768979072571,36.62769074440003,0.061074,0.0796,feedback,0,1,False,0.09425256572857908,0.3333333333333333,-0.3333333333333333
29,10,36.587416887283325,37.787417840957644,-0.057304,0.041255,feedback,0,1,False,-0.011797210998436988,0.3333333333333333,-0.3333333333333333
30,10,37.77583074569702,38.97583980560303,-0.075904,0.008914,feedback,0,2,False,0.0,0.3333333333333333,-0.3333333333333333
31,10,39.00405764579773,40.20405859947205,0.049275,-0.000993,feedback,0,3,False,0.0,0.3333333333333333,-0.3333333333333333
32,10,40.19836091995239,41.39836187362671,0.025687,0.056524,feedback,0,3,False,0.29613201594485855,0.3333333333333333,-0.3333333333333333
33,10,41.40925717353821,42.60925812721253,0.017386,0.028051,feedback,0,3,False,0.11485478272075365,0.3333333333333333,-0.3333333333333333
34,10,42.59196496009827,43.791966152191165,0.074289,0.036573,feedback,0,3,False,0.05273767779963826,0.3333333333333333,-0.3333333333333333
35,10,43.80542325973511,45.005424451828006,0.109954,-0.016396,feedback,0,3,False,0.2773874011028517,0.3333333333333333,-0.3333333333333333
36,10,44.99925446510315,46.19925565719605,0.129621,0.063315,feedback,1,3,False,0.0,0.3333333333333333,-0.3333333333333333
37,10,46.2092604637146,47.40926141738892,0.100611,0.065335,feedback,2,3,False,0.0,0.3333333333333333,-0.3333333333333333
38,10,47.38820719718933,48.58820815086365,-0.022308,0.029984,feedback,2,3,False,0.20506912602712704,0.3333333333333333,-0.3333333333333333
39,10,48.59811997413635,49.79812092781067,0.086563,0.03507,feedback,2,3,False,-0.10581926539896386,0.3333333333333333,-0.3333333333333333
40,10,49.806097984313965,51.006098937988284,0.080275,0.01462,feedback,2,3,False,0.19545500368578222,0.3333333333333333,-0.3333333333333333
41,10,50.9847674369812,52.1847686290741,0.078208,0.025254,feedback,3,3,False,0.0,0.3333333333333333,-0.3333333333333333
42,10,52.19516921043396,53.39517016410828,0.098408,0.019275,feedback,3,3,False,0.3201938031111501,0.3333333333333333,-0.3333333333333333
43,10,53.38174819946289,54.58174939155579,0.039577,-0.002107,feedback,4,3,False,0.0,0.3333333333333333,-0.3333333333333333
44,10,54.61511826515198,55.8151192188263,0.081304,0.068781,feedback,4,3,False,0.2565066316471399,0.3333333333333333,-0.3333333333333333
45,10,55.80620455741882,57.00620551109314,0.103976,0.071491,feedback,4,3,False,0.330576150230147,0.3333333333333333,-0.3333333333333333
46,10,57.00206446647644,58.20206565856934,0.054391,0.029222,feedback,5,3,False,0.0,0.3333333333333333,-0.3333333333333333
47,10,58.21105170249939,59.41105289459229,0.064984,0.01692,feedback,5,3,False,0.15260743507073682,0.3333333333333333,-0.3333333333333333
48,10,59.427645206451416,60.627646398544314,0.056702,0.112193,feedback,6,3,False,0.0,0.3333333333333333,-0.3333333333333333
49,10,60.62861609458923,61.82861704826355,0.032395,-0.005781,feedback,6,3,False,-0.3271322877084608,0.3333333333333333,-0.3333333333333333
50,10,61.80413222312927,63.00413341522217,0.068911,0.104995,feedback,6,3,False,-0.10812127270912114,0.3333333333333333,-0.3333333333333333
51,10,62.99140381813049,64.19140524864197,0.018964,0.057299,feedback,6,3,False,-0.3205941871166533,0.3333333333333333,-0.3333333333333333
52,10,64.21072673797607,65.41072793006897,0.058364,0.093616,feedback,6,4,False,0.0,0.3333333333333333,-0.3333333333333333
53,10,65.39800381660461,66.59800477027893,0.115364,0.027199,feedback,6,4,False,-0.20576205741997716,0.3333333333333333,-0.3333333333333333
54,10,66.59886026382446,67.79886121749878,0.034791,0.02216,feedback,6,4,False,0.31472582871084137,0.3333333333333333,-0.3333333333333333
55,10,67.85848999023438,69.05849118232727,0.094341,0.045103,feedback,7,4,False,0.0,0.3333333333333333,-0.3333333333333333
56,10,69.00889945030212,70.20890064239502,0.066285,0.000288,feedback,7,4,False,0.2857553195802811,0.3333333333333333,-0.3333333333333333
